Id,ActivityId,InterventionId,FinishTime,ActivityType,InterventionType,CommodityType,Commodity,Weight
6177940,6168237,6177939,2022-04-27T04:24:15Z,Airport,Detected,Fruit & Veg,BANANAS,0.6
6178447,6168457,6178446,2022-04-27T04:25:02Z,Airport,Declared,Fruit & Veg,GRAPES,0.12
6178448,6168457,6178446,2022-04-27T04:25:02Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6179127,6168303,6179124,2022-04-27T07:14:29Z,Airport,Detected,Fruit & Veg,AVOCADOS,0.2
6179272,6168369,6179271,2022-04-27T07:17:53Z,Airport,Detected,Fruit & Veg,APPLES,0.2
6179439,6174385,6179438,2022-04-27T08:55:50Z,Airport,Detected,Fruit & Veg,MANDARINS,0.03
6179511,6168708,6179510,2022-04-27T09:40:48Z,Airport,Detected,Fruit & Veg,APPLES,0.02
6179639,6174429,6179638,2022-04-27T09:55:01Z,Airport,Declared,Fruit & Veg,MANDARINS,0.1
6179640,6174429,6179638,2022-04-27T09:55:01Z,Airport,Declared,Fruit & Veg,APPLES,0.3
6179777,6168752,6179776,2022-04-27T11:06:33Z,Airport,Detected,Fruit & Veg,CHERRY TOMATOES,0.02
6179982,6174473,6179981,2022-04-27T11:35:00Z,Airport,Declared,Fruit & Veg,BANANAS,0.15
6181574,6180783,6181572,2022-04-27T22:55:49Z,Airport,Detected,Fruit & Veg,MANDARINS,0.22
6181613,6180783,6181612,2022-04-27T22:55:49Z,Airport,Detected,Fruit & Veg,BANANAS,0.26
6182412,6180854,6182411,2022-04-28T00:30:48Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6183125,6180104,6183124,2022-04-28T01:05:54Z,Airport,Detected,Fruit & Veg,LIMES,0.2
6185114,6180898,6185113,2022-04-28T02:30:07Z,Airport,Declared,Fruit & Veg,BANANAS,0.13
6185138,6180898,6185137,2022-04-28T02:30:07Z,Airport,Detected,Fruit & Veg,APPLES,0.24
6185231,6180920,6185230,2022-04-28T01:55:47Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6185232,6180920,6185230,2022-04-28T01:55:47Z,Airport,Declared,Fruit & Veg,BANANAS,0.13
6185271,6180920,6185270,2022-04-28T01:55:47Z,Airport,Declared,Fruit & Veg,BANANAS,0.13
6185414,6181008,6185413,2022-04-28T03:25:18Z,Airport,Declared,Fruit & Veg,BANANAS,0.26
6185438,6181008,6185437,2022-04-28T03:25:18Z,Airport,Declared,Fruit & Veg,BANANAS,0.26
6185491,6181030,6185490,2022-04-28T03:40:33Z,Airport,Declared,Fruit & Veg,MANDARINS,0.22
6185492,6181030,6185490,2022-04-28T03:40:33Z,Airport,Declared,Fruit & Veg,APPLES,0.24
6185531,6181030,6185530,2022-04-28T03:40:33Z,Airport,Declared,Fruit & Veg,BANANAS,0.26
6185555,6181030,6185554,2022-04-28T03:40:33Z,Airport,Declared,Fruit & Veg,APPLES,0.1
6186818,6186777,6186817,2022-04-28T05:50:00Z,Airport,Declared,Fruit & Veg,OLIVES,0.3
6186886,6186845,6186885,2022-04-28T05:50:00Z,Airport,Detected,Fruit & Veg,MANDARINS,0.3
6186984,6180302,6186983,2022-04-28T06:47:14Z,Airport,Declared,Fruit & Veg,APPLES,0.2
6187008,6180302,6187007,2022-04-28T06:47:14Z,Airport,Detected,Fruit & Veg,BANANAS,0.1
6187034,6180302,6187033,2022-04-28T06:47:14Z,Airport,Detected,Fruit & Veg,APPLES,0.12
6187137,6180368,6187136,2022-04-28T07:19:18Z,Airport,Detected,Fruit & Veg,BANANAS,0.12
6187313,6180346,6187312,2022-04-28T09:40:00Z,Airport,Declared,Fruit & Veg,MANDARINS,0.04
6187552,6180412,6187551,2022-04-28T11:31:02Z,Airport,Declared,Fruit & Veg,APPLES,0.03
6187694,6180456,6187693,2022-04-28T11:33:21Z,Airport,Declared,Fruit & Veg,PLUMS,0.06
6187695,6180456,6187693,2022-04-28T11:33:21Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6187895,6181228,6187894,2022-04-28T08:35:59Z,Airport,Declared,Fruit & Veg,APPLES,0.15
6188019,6181272,6188018,2022-04-28T09:25:37Z,Airport,Detected,Fruit & Veg,AVOCADOS,0.15
6188092,6181294,6188091,2022-04-28T09:40:50Z,Airport,Declared,Fruit & Veg,BANANAS,0.04
6188426,6188384,6188424,2022-04-28T06:50:35Z,Airport,Declared,Fruit & Veg,FRUIT SALAD,2
6188581,6188516,6188580,2022-04-28T21:52:07Z,Airport,Detected,Fruit & Veg,STRAWBERRIES,0.3
6188582,6188516,6188580,2022-04-28T21:52:07Z,Airport,Detected,Fruit & Veg,CHERRY TOMATOES,0.2
6189289,6189208,6189248,2022-04-28T03:50:54Z,Airport,Declared,Fruit & Veg,GRAPES,0.1
6189306,6189208,6189248,2022-04-28T03:50:54Z,Airport,Declared,Fruit & Veg,ORANGES,0.1
6189323,6189208,6189248,2022-04-28T03:50:54Z,Airport,Declared,Fruit & Veg,PASSIONFRUIT,0.1
6189357,6189208,6189248,2022-04-28T03:50:54Z,Airport,Declared,Fruit & Veg,RASPBERRIES,0.1
6190798,6190757,6190797,2022-04-29T00:02:52Z,Airport,Declared,Fruit & Veg,APPLES,0.18
6190876,6188626,6190875,2022-04-29T00:16:50Z,Airport,Detected,Fruit & Veg,APPLES,0.2
6191057,6188648,6191056,2022-04-29T01:34:55Z,Airport,Detected,Fruit & Veg,BANANAS,0.2
6191081,6188648,6191080,2022-04-29T01:34:55Z,Airport,Declared,Fruit & Veg,BANANAS,0.2
6191309,6189527,6191308,2022-04-28T23:45:33Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6191310,6189527,6191308,2022-04-28T23:45:33Z,Airport,Declared,Fruit & Veg,MANDARINS,0.11
6191354,6189527,6191353,2022-04-28T23:45:33Z,Airport,Declared,Fruit & Veg,BANANAS,0.13
6191406,6189571,6191405,2022-04-29T00:35:36Z,Airport,Detected,Fruit & Veg,APPLES,0.12
6191430,6189571,6191429,2022-04-29T00:35:36Z,Airport,Declared,Fruit & Veg,BANANAS,0.13
6191454,6189571,6191453,2022-04-29T00:35:36Z,Airport,Declared,Fruit & Veg,BANANAS,0.13
6191478,6189571,6191477,2022-04-29T00:35:36Z,Airport,Declared,Fruit & Veg,BANANAS,0.03
6191555,6189593,6191554,2022-04-29T00:10:15Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6191556,6189593,6191554,2022-04-29T00:10:15Z,Airport,Declared,Fruit & Veg,BANANAS,0.13
6191557,6189593,6191554,2022-04-29T00:10:15Z,Airport,Declared,Fruit & Veg,GRAPES,0.05
6191663,6189615,6191662,2022-04-29T01:00:14Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6191687,6189615,6191686,2022-04-29T01:00:14Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6191711,6189615,6191710,2022-04-29T01:00:14Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6191712,6189615,6191710,2022-04-29T01:00:14Z,Airport,Declared,Fruit & Veg,BANANAS,0.13
6191848,6189707,6191847,2022-04-29T00:55:57Z,Airport,Declared,Fruit & Veg,BANANAS,0.13
6191849,6189707,6191847,2022-04-29T00:55:57Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6192180,6192139,6192179,2022-04-29T01:10:34Z,Airport,Declared,Fruit & Veg,BANANAS,0.05
6192525,6188714,6192524,2022-04-29T03:37:11Z,Airport,Detected,Fruit & Veg,BANANAS,0.2
6192866,6189897,6192842,2022-04-29T04:05:41Z,Airport,Detected,Fruit & Veg,PAWPAWS,0.08
6192867,6189897,6192842,2022-04-29T04:05:41Z,Airport,Detected,Fruit & Veg,TOMATOES,0.04
6192929,6189946,6192928,2022-04-29T03:35:34Z,Airport,Declared,Fruit & Veg,GUAVAS (prohibited),0.33
6192930,6189946,6192928,2022-04-29T03:35:34Z,Airport,Declared,Fruit & Veg,GRAPES,0.2
6193069,6193028,6193068,2022-04-29T04:18:17Z,Airport,Detected,Fruit & Veg,APPLES,3
6193092,6193028,6193068,2022-04-29T04:18:17Z,Airport,Detected,Fruit & Veg,BANANAS,0.2
6194170,6189996,6194169,2022-04-29T05:05:28Z,Airport,Declared,Fruit & Veg,APPLES,0.15
6194194,6189996,6194193,2022-04-29T05:05:28Z,Airport,Declared,Fruit & Veg,AVOCADOS,0.3
6194195,6189996,6194193,2022-04-29T05:05:28Z,Airport,Declared,Fruit & Veg,BANANAS,0.15
6194260,6190018,6194259,2022-04-29T05:20:14Z,Airport,Declared,Fruit & Veg,MANDARINS,0.1
6194284,6190018,6194283,2022-04-29T05:20:14Z,Airport,Declared,Fruit & Veg,APPLES,0.15
6194572,6188824,6194571,2022-04-29T08:03:57Z,Airport,Detected,Fruit & Veg,BLUEBERRIES,0.01
6194696,6190153,6194695,2022-04-29T08:00:03Z,Airport,Detected,Fruit & Veg,APPLES,0.15
6194796,6190197,6194795,2022-04-29T08:50:50Z,Airport,Declared,Fruit & Veg,APPLES,0.3
6194797,6190197,6194795,2022-04-29T08:50:50Z,Airport,Declared,Fruit & Veg,BANANAS,0.05
6194836,6190197,6194835,2022-04-29T08:50:50Z,Airport,Declared,Fruit & Veg,APPLES,0.15
6194861,6190197,6194859,2022-04-29T08:50:50Z,Airport,Declared,Fruit & Veg,AVOCADOS,0.1
6194928,6188868,6194923,2022-04-29T10:39:48Z,Airport,Detected,Fruit & Veg,Eggplant,0.45
6195013,6188868,6194923,2022-04-29T10:39:48Z,Airport,Detected,Fruit & Veg,CHILLIES,0.1
6195129,6188890,6195128,2022-04-29T10:41:29Z,Airport,Detected,Fruit & Veg,APPLES,0.2
6195206,6190241,6195205,2022-04-29T09:20:39Z,Airport,Declared,Fruit & Veg,MANDARINS,0.1
6195395,6188912,6195394,2022-04-29T10:58:57Z,Airport,Declared,Fruit & Veg,APPLES,0.12
6195468,6190285,6195467,2022-04-29T09:55:46Z,Airport,Detected,Fruit & Veg,APPLES,0.15
6195539,6190263,6195538,2022-04-29T10:40:50Z,Airport,Detected,Fruit & Veg,APPLES,0.05
6195974,6190351,6195973,2022-04-29T11:49:25Z,Airport,Declared,Fruit & Veg,APPLES,0.15
6196071,6190307,6196070,2022-04-29T12:10:11Z,Airport,Declared,Fruit & Veg,BANANAS,0.15
6196119,6190307,6196118,2022-04-29T12:10:11Z,Airport,Declared,Fruit & Veg,MANDARINS,0.1
6196120,6190307,6196118,2022-04-29T12:10:11Z,Airport,Declared,Fruit & Veg,APPLES,0.15
6196229,6196187,6196227,2022-04-29T22:00:10Z,Airport,Detected,Fruit & Veg,MANGOES,28
6197115,6196271,6197114,2022-04-29T23:30:52Z,Airport,Detected,Fruit & Veg,APPLES,0.2
6197139,6196271,6197138,2022-04-29T23:30:52Z,Airport,Detected,Fruit & Veg,APPLES,0.2
6197213,6196315,6197212,2022-04-30T12:20:50Z,Airport,Detected,Fruit & Veg,BANANAS,0.2
6197287,6196359,6197286,2022-04-30T00:48:18Z,Airport,Detected,Fruit & Veg,APPLES,0.2
6197395,6196715,6197394,2022-04-30T00:30:04Z,Airport,Declared,Fruit & Veg,APPLES,0.15
6197562,6196381,6197561,2022-04-30T03:59:55Z,Airport,Detected,Fruit & Veg,BANANAS,0.2
6197586,6196381,6197585,2022-04-30T03:59:55Z,Airport,Detected,Fruit & Veg,BANANAS,0.4
